id,title,requirement,responsibility
130273983,IT специалист,Умение работать с Google Sheet и Excel. Желание знать и учиться Это огромный плюс.,"...png сиквенции и тд . ). Отправлять материал заказчику , через различные сервисы , фтп , яндекс. Диск и тд . Использование скриптов. Язык программирования Python."
130423286,Python Backend Developer,Git orqali jamoa bilan ishlash.,"Mas'uliyatlar: * Docker yordamida loyihalarni konteynerlash. ​​​​​​​* Docker, Docker Compose tajribasi. * Redis, Celery, Kafka bilan ishlagan bo‘lish. * CI/CD tushunchalarini..."
129602300,Младший аналитик данных,Умение писать запросы и работать с базами данных (SQL).  Базовое владение Python для анализа данных.  Понимание основ статистики и теории...,
130432191,Стажёр в отдел разработки инструментов создания дата-решений,"Знание Python для работы с данными с помощью стандартных фреймворков: pandas DataFrame, numpy. Навыки работы с библиотеками для подключения к...",Изучать метамодель для построения приложений хранилища. Писать шаблоны на jinja для генерации прикладного кода. Работать с базами данных для поиска...
130299043,Стажер дата/BI аналитик,"Имеет хорошие знания в SQL, Python. Плюсом будет небольшой опыт работы в качестве аналитика с использованием SQL и Python.","Участие в операционных задачах команды: Подготовка и развитие управленческой отчетности — это топ отчеты, на которых строятся решения всей компании."
130395811,Специалист по тестированию (QA),Опыт работы с Git. Будет плюсом: Опыт автоматизации тестирования (Python). Опыт работы с фреймворками автоматизации (Selenium). Понимание CI/CD и...,"ATHENA — интеллектуальная sandbox-платформа для анализа файлов. Использует статический и динамический анализ с применением ИИ, выявляя сложные и неизвестные киберугрозы..."
130446683,Frontend-разработчик,Навыки работы с базами данных: PostgreSQL и MongoDB. Опыт разработки на Python 3.10+ (async) и FastAPI.,
130104302,Frontend-разработчик,"Высшее техническое образование. Уверенное знание современного стэка frontend разработки: React, TypeScript, Next.js, WebSocket. Опыт разработки веб-приложений с использованием API...",Разработка frontend части системы управления БАС. Проектирование макетов интерфейса. Участие в разработке ТЗ на интерфейс. Разработка программы-проигрывателя логов.
130280230,Python-разработчик,Опыт коммерческой разработки на Python от 1 года. Понимание принципов ООП и паттернов проектирования. Опыт работы с одним из современных...,"Разработка и поддержка многопоточных приложений. Разработкой веб приложений на Python (Django, FastAPI). Участие в разработке архитектуры системы. Декомпозиция и оценка..."
130408546,Middle QA инженер,"Опыт работы с Postman, Charles, Rabbit MQ, TestRail / TestIT (либо схожие инструменты). Опыт написания SQL запросов. Будет плюсом знание Python.","...MQ), с базой данных (MySQL), с багтрекером (YouTrack). (Опционально) разработка новых автотестов (python + pytest, playwright, appium) , поддержка существующих автотестов."
129586320,Senior Data Scientist,"Релевантный профессиональный опыт – более 3 лет. Владение языками программирования (Python, R). Глубокое понимание статистических методов работы с данными.","Вы будете работать в команде, где ваша задача будет заключаться в выявлении оптимальных решений для конкретных проблем клиентов и их..."
129685138,Начинающий сотрудник поддержки для маркетплейсов (без продаж),"У вас грамотная письменная речь. Наличие ПК/ноутбука, стабильного интернета и гарнитуры.",Осуществлять поддержку пользователей по вопросам сервиса компании.
129315623,Консультант по исследованиям,"Аналитический склад ума. Знание и понимание основ статистики, математических анализов ( проверка значимости, работа с табличными данными, регрессии и т.д).",Менеджмент количественных исследовательских проектов полного цикла (от стадии обсуждения задач клиента до презентации результатов исследования). Работа с клиентами: Разработка дизайна...
130318173,Data Analyst,"Уверенное владение SQL (сложные запросы, оконные функции, оптимизация). Опыт анализа данных в Python (pandas, NumPy, визуализация). Понимание статистических методов и...","Проводить исследовательский анализ данных (EDA), формулировать и проверять гипотезы. Рассчитывать и интерпретировать ключевые продуктовые и бизнес-метрики (LTV, CAC, Retention..."
129869172,Аналитик данных,"Умение работать с большими массивами данных, проводить их обработку, готовить данные к анализу. Знание Python (библиотеки pandas и numpy).","Разработка аналитических отчетов (регулярные мониторинги, разовые выгрузки); выработка продуктовых метрик и алгоритмов их расчета. Контроль качества данных в источниках (базы..."
130397832,Начинающий тестировщик,"Навыки сбора требований к информационным системам. Навыки программирования на Java/Python. Знание основ SQL, принципов взаимодействия с БД.",Разобраться в данных и функционале ИТ-системы федерального уровня до «атомов». Взаимодействие с топовыми заказчиками из Аппарата Правительства Российской Федерации...
130390362,Руководитель отделов техподдержки и системного администрирования,"...SQL → PostgreSQL, Windows → Linux). Виртуализация: VMware (хосты, DRS, Datastore). Удалённый доступ: Citrix, RDS. Мониторинг: Zabbix, PRTG, DUDE. Автоматизация: Python, API.","Организацией эффективной работы команд системного администрирования и технической поддержки, развитием сотрудников команды (10+ чел.). Постоянным улучшением и совершенствованием процессов..."
130292959,Инженер-тестировщик,Будет преимуществом: Опыт написания простых скриптов для автоматизации тестирования (на Python/Bash/JavaScript). Знание основ SQL и умение писать простые...,"Область деятельности: - Проведение комплексного тестирования аппаратно-программных комплексов компании. - Разработка и актуализация тестовой документации: чек-листы, тест-кейсы, тест-планы..."
130434145,Аналитик ЦУП,"Уверенное владение Excel (продвинутый уровень). Навыки программирования в используемых языках Python, JavaScript, C++(базовый уровень). Понимание основ математической статистики и...","Расчет и анализ показателей, характеризующих производственную деятельность авиакомпании. Подготовка регулярной производственной отчетности и отчетности для руководства компании. Разработка и поддержка..."
130425843,Manual QA Engineer,"Умение пользоваться БД (базовые запросы SQL). - Умение читать логи и анализировать их. Стек: MySQL, Redis, PHP, Python, Docker, Kubernetess, JS...",Тестирование web/backend. - Написание и актуализация тестовой документации. - Регистрация дефектов и контроль их устранения. - Проверка реализованных задач на деве. -
130168027,Middle QA инженер (ручной тестировщик),Высшее образование (в сфере ИТ или техническое). Опыт ручного тестирования от 2 лет. Понимание клиент-серверной архитектуры. Знание HTTP / REST.,Работу в продуктовой команде с интересными задачами для реализации решений в b2g и b2b секторе.
130434363,Junior специалист,"REST API (уметь делать запросы, читать документацию). Навык написания простых скриптов (Python/PHP/JS), базовые знания HTML. Базовые знания MS...","Администрирование в SaaS системах и общение с их поддержкой при необходимости (Keitaro, Appsflyer и др.). Подключение s2s постбэков..."
